Feature,Importance
country_GNB,3.938849368717702e-06
country_KAZ,3.786258302703445e-06
country_CIV,3.7334293332663314e-06
country_NZL,3.6484682098149516e-06
country_JOR,2.9670985390324497e-06
country_THA,2.9229323120714514e-06
country_MYS,2.8354547564375404e-06
country_KWT,2.4219397496332e-06
country_IRQ,2.2705894465736013e-06
country_MLT,2.2568698785552374e-06
country_TJK,1.879383152275988e-06
country_BLR,1.8443037249210105e-06
country_SUR,1.5041912335815432e-06
country_KIR,1.167628624795563e-06
country_TWN,1.129298710544346e-06
country_CRI,1.1260816075436596e-06
country_DJI,9.408238359180777e-07
country_BEN,9.332871450499104e-07
country_PAK,9.248856398719605e-07
country_GAB,8.678306409326116e-07
country_NIC,8.577711003257799e-07
country_TZA,7.746050197285231e-07
country_VNM,7.437167392767128e-07
country_COM,7.314262374600359e-07
country_BHR,7.295058882250303e-07
country_KEN,4.2121200198074684e-07
country_CUB,4.1406657258667493e-07
country_ETH,3.5975337089122633e-07
country_MNE,2.986589226093415e-07
country_BOL,2.619969780201628e-07
country_OMN,2.1913761935566324e-07
country_ALB,1.6337564651880488e-07
country_CMR,1.3165688284202846e-07
country_UZB,1.48777300188001e-08
country_LBY,1.4431840419505768e-08
country_PRY,1.2568178093711427e-08
country_BDI,1.1139370497559277e-08
country_LAO,1.3143352855003407e-09
country_ASM,0.0
country_NCL,0.0
country_ABW,0.0
country_GUY,0.0
country_MDG,0.0
country_MCO,0.0
country_LKA,0.0
country_LCA,0.0
country_KNA,0.0
country_KHM,0.0
country_JAM,0.0
country_IMN,0.0
country_HND,0.0
country_GTM,0.0
country_MMR,0.0
country_GLP,0.0
country_FRO,0.0
country_FJI,0.0
country_DMA,0.0
country_ARM,0.0
country_CAF,0.0
country_BWA,0.0
country_BRB,0.0
country_BIH,0.0
country_MLI,0.0
country_MRT,0.0
country_ZWE,0.0
country_SLV,0.0
country_ZMB,0.0
country_UMI,0.0
country_UGA,0.0
country_TMP,0.0
country_TGO,0.0
country_SYR,0.0
country_SYC,0.0
country_STP,0.0
country_SMR,0.0
country_SDN,0.0
country_MWI,0.0
country_RWA,0.0
country_PYF,0.0
country_AIA,0.0
country_PLW,0.0
country_PAN,0.0
country_NPL,0.0
country_ATA,0.0
country_NAM,0.0
country_MYT,0.0
country_LIE,0.0
