Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8270568886264918,0.8154317697228145,0.6925863044708546,0.7490054470897852,0.9045253783783639
Decision Tree,0.8306835912790452,0.7867682056163732,0.7483870967741936,0.7670978595046116,0.9090126768077782
Random Forest,0.830430565512588,0.923469387755102,0.5941143180531975,0.7230525518286384,0.9234425087866126
